rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
156,"spotify:track:1mgoLJV5W6JSWanT5bgf3o","BLOK3","KUSURA BAKMA","Mundo Music",27,107,12,"512123"
157,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Eminem Catalog PS",4,141,154,"510674"
158,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",69,69,2,"510375"
159,"spotify:track:0gmbgwZ8iqyMPmXefof8Yf","Nickelback","How You Remind Me","Roadrunner Records",135,146,55,"508558"
160,"spotify:track:2LtD83L2gaZxvAqTaNw7EO","Haftbefehl, Bazzazian","RADW","Urban",9,131,34,"507877"
161,"spotify:track:6ztt4FMa6HCfNdoH96Ppyx","reezy","7OO PFERDE","Four Music/TEENAGER FOREVER Ent.",161,-1,1,"505457"
162,"spotify:track:20I6sIOMTCkB6w7ryavxtO","Carly Rae Jepsen","Call Me Maybe","Silent Records IGA",131,171,17,"503432"
163,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, JHAYCO","DÁKITI","Rimas Entertainment LLC",65,108,21,"502130"
164,"spotify:track:5g7sDjBhZ4I3gcFIpkrLuI","Bruno Mars","Locked out of Heaven","Atlantic Records",38,154,15,"501945"
165,"spotify:track:5EcG8eMMlwkHRVa4aTR1qd","Rihanna","Breakin' Dishes","Def Jam Recordings",24,139,44,"501418"
166,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",110,148,20,"498957"
167,"spotify:track:3cHyrEgdyYRjgJKSOiOtcS","Pitbull, Kesha","Timber","Mr.305/Polo Grounds Music/RCA Records",105,-1,27,"497686"
168,"spotify:track:5HToJtEx6s8TIqleddjUhA","Bibi Blocksberg","Bibi Blocksberg Lied","Kiddinx Studios/WM Germany",98,181,13,"496389"
169,"spotify:track:4VxTzYm00mg82MuoT35Ja7","Tyla","CHANEL","Epic",49,167,13,"492446"
170,"spotify:track:5ViLKrbyL3HD6wsq3AB9eI","Dominic Fike","White Keys","Columbia",170,-1,1,"489494"
171,"spotify:track:2BwO5K8Q7EPAJSGze3AAh9","Sabrina Carpenter","Manchild","Island Records",33,105,27,"488617"
172,"spotify:track:6KtocJ4pw4vO32T6OXRvqz","Aymen, Amo","Capri Sun","Epic/Moon Boys",4,140,36,"488599"
173,"spotify:track:7oQepKHmXDaPC3rgeLRvQu","Udo Lindenberg, Apache 207","Komet","Warner Music Central Europe",1,156,133,"488220"
174,"spotify:track:4kfm1uI9QGaoN9qm6CkAMn","Linkin Park","What I've Done","Warner Records",48,147,22,"486863"
175,"spotify:track:7fUWZUNj5qbEuoL6K9947g","Nimo","Heute mit mir","Urban",8,138,73,"485352"
176,"spotify:track:25AxpNttsm1NxJpa09pE3B","CANEY030","geht so","Urban",176,-1,1,"484516"
177,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",2,159,69,"482113"
178,"spotify:track:45Z3m6yazmAi4jZuW0tzW0","Harry Styles","Aperture","Columbia",6,94,4,"481362"
179,"spotify:track:2FAZskT9yRjp2Oow9szJD8","Chrystal, NOTION","The Days - NOTION Remix","Polydor Records",21,145,59,"481351"
180,"spotify:track:0zBOXwDbCEM0Wbx3rqVdQb","Kurdo, CAPO","Alors (feat. CAPO)","ALMAZ",39,149,42,"480345"
181,"spotify:track:3q3rQNqzfZgWj7CARttj0F","reezy","SABÍA QUE NO","Four Music/TEENAGER FOREVER Ent.",1,150,57,"479862"
182,"spotify:track:4WxU1gDVmoH6gstgR0MT78","Major Lazer, MØ, DJ Snake","Lean On (feat. MØ & DJ Snake)","Third Pardee Records",99,177,8,"477569"
183,"spotify:track:1yGJ40k7HLF3odITZPoQs4","RnBoi","MON BÉBÉ","DOUBLE JEU RECORDS",73,144,13,"476432"
184,"spotify:track:5nPbKG04fhLkIAjcPFaZq7","HUGEL, Topic, Arash, Daecolm","I Adore You (feat. Daecolm)","Intercord",15,157,81,"473843"
185,"spotify:track:7MmG8p0F9N3C4AXdK6o6Eb","Calvin Harris, Ellie Goulding","Outside (feat. Ellie Goulding)","Columbia",162,175,7,"472945"
186,"spotify:track:4kbj5MwxO1bq9wjT5g9HaA","WALK THE MOON","Shut Up and Dance","RCA Records Label",100,-1,53,"472605"
187,"spotify:track:4356Typ82hUiFAynbLYbPn","USHER, Pitbull","DJ Got Us Fallin' In Love (feat. Pitbull)","LaFace Records",125,-1,8,"472048"
188,"spotify:track:0yp3TvJNlG50Q4tAHWNCRm","Depeche Mode","Enjoy the Silence","Legacy Recordings",52,186,38,"470871"
189,"spotify:track:1zv3WFUbZ5vPxFq9I2jAU1","Rihanna, Calvin Harris","We Found Love","Def Jam Recordings",59,-1,22,"470095"
190,"spotify:track:48QmG1dfvMuYLxMPt7KSRA","Sean Paul, Dua Lipa","No Lie","Universal-Island Records Ltd.",11,169,35,"469125"
